text,label
lol Arrête de stream ptdr,1
non mais Trop clean 🤡,0
C'est trop bien ce que tu fais 😭,0
non mais Tu joues depuis combien de temps ? sérieux,0
franchement Retourne t'entraîner 💀,1
lol Supprime ta chaîne sérieux,1
eh Bonne soirée le chat sérieux,0
mdr Pourquoi tu streams 😭,1
non mais Yo 😭,0
franchement Franchement respect 💀,0
non mais Super stream aujourd'hui lol,0
mdr Merci pour le stream mdr,0
eh T'es éclaté lol,1
eh C'était une belle game lol,0
wesh Très bonne ambiance ici 🤡,0
ptdr Bien joué le move lol,0
lol C'est insupportable,1
lol Personne t'aime ici 🤡,1
Mais joue correctement sérieux,1
wesh Ça fait pitié ptdr,1
eh Ferme ta gueule ptdr,1
franchement Quel est ton setup ? 🤡,0
non mais Arrête le stream 😭,1
ptdr Ferme-la mdr,1
non mais Yo 😭,0
eh Force à toi lol,0
lol Ce jeu est incroyable,0
lol Ce jeu est incroyable 😭,0
ptdr Même ma grand-mère joue mieux 🤡,1
Dégage de Twitch mdr,1
franchement Supprime ta chaîne mdr,1
eh Nice play,0
Va te faire foutre ptdr,1
franchement C'est trop bien ce que tu fais sérieux,0
Supprime ta chaîne lol,1
mdr Hâte de voir la suite lol,0
non mais Tu gères,0
eh On s'ennuie à mort,1
ptdr Quel clutch ptdr,0
wesh Bon courage 😭,0
eh Ça fait pitié ptdr,1
eh Tu fais n'importe quoi mdr,1
eh Yo sérieux,0
Personne t'aime ici 💀,1
lol Tu joues depuis combien de temps ? mdr,0
wesh Supprime ta chaîne sérieux,1
lol Ferme-la lol,1
eh Force à toi sérieux,0
mdr Tu fais n'importe quoi mdr,1
mdr C'est de la merde 💀,1
mdr Niveau zéro 😭,1
non mais Nice play mdr,0
non mais C'est insupportable 😭,1
non mais T'es ridicule 🤡,1
franchement Bonsoir à tous sérieux,0
eh Bonsoir à tous,0
eh Arrête de stream lol,1
ptdr Continue comme ça,0
lol Même ma grand-mère joue mieux 🤡,1
lol Nice play 🤡,0
lol Bien joué le move lol,0
eh Tu fais n'importe quoi ptdr,1
lol C'est catastrophique,1
wesh J'en peux plus de te voir lol,1
eh C'était une belle game 💀,0
non mais Va te faire foutre mdr,1
Trop fort mdr,0
T'es vraiment nul 🤡,1
franchement Va te faire foutre lol,1
franchement Quel malaise sérieux,1
lol C'est catastrophique 😭,1
ptdr T'es nul,1
wesh Quel est ton setup ? ptdr,0
mdr Quel stream de merde lol,1
eh Yo lol,0
ptdr Supprime ta chaîne ptdr,1
ptdr Tu fais n'importe quoi 🤡,1
wesh Merci pour le stream lol,0
eh J'adore ce jeu lol,0
mdr Apprends à jouer 💀,1
wesh GG bien joué 💀,0
mdr Quel clutch 💀,0
ptdr Arrête de stream 💀,1
T'es une honte ptdr,1
lol Franchement respect mdr,0
wesh Trop fort 🤡,0
non mais Même ma grand-mère joue mieux 😭,1
eh Force à toi mdr,0
eh Quel stream de merde 🤡,1
ptdr Continue comme ça ptdr,0
wesh Nice play ptdr,0
non mais Merci pour le contenu 😭,0
non mais Trop clean lol,0
wesh Quel stream de merde mdr,1
mdr Tu fais n'importe quoi sérieux,1
ptdr Va te faire foutre,1
eh Tu gères,0
non mais J'en peux plus de te voir 🤡,1
non mais Ça régale ptdr,0
non mais Même ma grand-mère joue mieux lol,1
lol C'est nul à chier 😭,1
lol Quel stream de merde 🤡,1
franchement J'aime bien ton style de jeu,0
mdr Tu fais n'importe quoi 🤡,1
mdr Va te faire foutre mdr,1
wesh C'est trop bien ce que tu fais 💀,0
eh Tu gères 💀,0
lol Très bonne ambiance ici 💀,0
mdr Trop fort sérieux,0
T'es gênant 💀,1
wesh Bonne soirée le chat lol,0
eh Bonne soirée le chat lol,0
franchement Arrête de stream lol,1
lol Retourne apprendre à jouer 😭,1
franchement C'est trop bien ce que tu fais mdr,0
ptdr Va te faire foutre 🤡,1
mdr Bonne soirée le chat mdr,0
lol C'est insupportable lol,1
ptdr Apprends à jouer 💀,1
franchement Masterclass lol,0
wesh Bien vu,0
eh T'es mauvais lol,1
ptdr T'es chaud aujourd'hui sérieux,0
Continue le grind 💀,0
Bonne soirée le chat sérieux,0
eh Bien joué le move,0
non mais J'aime bien ton style de jeu mdr,0
Ça fait pitié,1
C'est nul à chier 🤡,1
